"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 22 16:25:00 MSK 2026","Sun Feb 22 16:25:00 MSK 2026","796","","sprint7.courier.CourierDeleteTest","","sprint7.courier.CourierDeleteTest","delete","Удаление курьера",""
"passed","Sun Feb 22 16:23:27 MSK 2026","Sun Feb 22 16:23:27 MSK 2026","158","","sprint7.order.OrderCreateTest","","sprint7.order.OrderCreateTest","createOrder[[]]","Создать заказ",""
"passed","Sun Feb 22 16:23:27 MSK 2026","Sun Feb 22 16:23:27 MSK 2026","219","","sprint7.order.OrderCreateTest","","sprint7.order.OrderCreateTest","createOrder[[BLACK]]","Создать заказ",""
"passed","Sun Feb 22 16:23:44 MSK 2026","Sun Feb 22 16:23:55 MSK 2026","10512","","sprint7.order.OrdersListTest","","sprint7.order.OrdersListTest","listOrdersWithLimit","Список заказов с ограничением 1",""
"passed","Sun Feb 22 16:23:25 MSK 2026","Sun Feb 22 16:23:27 MSK 2026","1894","","sprint7.order.OrderCreateTest","","sprint7.order.OrderCreateTest","createOrder[[BLACK, GREY]]","Создать заказ",""
"passed","Sun Feb 22 16:24:56 MSK 2026","Sun Feb 22 16:24:57 MSK 2026","986","","sprint7.courier.CourierLoginTest","","sprint7.courier.CourierLoginTest","incorrectPassword","Вход в систему с некорректным паролем",""
"passed","Sun Feb 22 16:23:27 MSK 2026","Sun Feb 22 16:23:27 MSK 2026","168","","sprint7.order.OrderCreateTest","","sprint7.order.OrderCreateTest","createOrder[[GREY]]","Создать заказ",""
"passed","Sun Feb 22 16:24:57 MSK 2026","Sun Feb 22 16:24:58 MSK 2026","106","","sprint7.courier.CourierLoginTest","","sprint7.courier.CourierLoginTest","loginNoLogin","Вход в систему без указания логина",""
"passed","Sun Feb 22 16:24:58 MSK 2026","Sun Feb 22 16:24:58 MSK 2026","566","","sprint7.courier.CourierCreateTest","","sprint7.courier.CourierCreateTest","create","Создать курьера",""
"passed","Sun Feb 22 16:24:57 MSK 2026","Sun Feb 22 16:24:57 MSK 2026","696","","sprint7.courier.CourierLoginTest","","sprint7.courier.CourierLoginTest","loginNotFound","Вход в систему с несуществующим логином",""
"broken","Sun Feb 22 16:23:55 MSK 2026","Sun Feb 22 16:24:55 MSK 2026","60569","","sprint7.courier.CourierLoginTest","","sprint7.courier.CourierLoginTest","loginNoPassword","Вход в систему без указания пароля",""
"failed","Sun Feb 22 16:25:01 MSK 2026","Sun Feb 22 16:25:01 MSK 2026","235","","sprint7.courier.CourierDeleteTest","","sprint7.courier.CourierDeleteTest","deleteNoId","Удаление курьера без id",""
"passed","Sun Feb 22 16:24:55 MSK 2026","Sun Feb 22 16:24:56 MSK 2026","640","","sprint7.courier.CourierLoginTest","","sprint7.courier.CourierLoginTest","login","Вход в систему",""
"passed","Sun Feb 22 16:24:59 MSK 2026","Sun Feb 22 16:24:59 MSK 2026","477","","sprint7.courier.CourierCreateTest","","sprint7.courier.CourierCreateTest","createNoPassword","Создать курьера без указания пароля",""
"passed","Sun Feb 22 16:23:27 MSK 2026","Sun Feb 22 16:23:28 MSK 2026","143","","sprint7.order.OrderCreateTest","","sprint7.order.OrderCreateTest","createOrder[[null]]","Создать заказ",""
"passed","Sun Feb 22 16:23:28 MSK 2026","Sun Feb 22 16:23:44 MSK 2026","16476","","sprint7.order.OrdersListTest","","sprint7.order.OrdersListTest","listOrders","Список заказов без ограничения",""
"passed","Sun Feb 22 16:24:59 MSK 2026","Sun Feb 22 16:25:00 MSK 2026","219","","sprint7.courier.CourierCreateTest","","sprint7.courier.CourierCreateTest","createNoLogin","Создать курьера без указания логина",""
"failed","Sun Feb 22 16:25:00 MSK 2026","Sun Feb 22 16:25:01 MSK 2026","266","","sprint7.courier.CourierDeleteTest","","sprint7.courier.CourierDeleteTest","deleteNonExisting","Удаление несуществующего курьера",""
"failed","Sun Feb 22 16:24:58 MSK 2026","Sun Feb 22 16:24:59 MSK 2026","863","","sprint7.courier.CourierCreateTest","","sprint7.courier.CourierCreateTest","createTwice","Создать курьера второй раз с одинаковым логином",""
